min;max;size;buckets;mean_elements_in_bucket;threads;time_allocate_sync;time_deallocate;time_all;error;0;0;0;0;0;0;0;0;
0;100000;40000000;270271;148;0.369999;1;0.000000;0.000091;19.086186;o;0.002259;0.296559;2.790814;5.462411;8.253226;5.435997;5.098009;
0;100000;40000000;264901;151;0.377500;1;0.000000;0.000239;18.984717;o;0.002611;0.293312;2.708733;5.457725;8.166459;5.474795;5.047254;
0;100000;40000000;259741;154;0.384999;1;0.000000;0.000180;18.071086;o;0.001923;0.293126;2.531065;5.151836;7.682902;5.176712;4.916195;
0;100000;40000000;254778;157;0.392499;1;0.000000;0.000188;18.863830;o;0.001998;0.293831;2.862961;5.282838;8.145800;5.301410;5.120558;
0;100000;40000000;250000;160;0.400000;1;0.000000;0.000229;18.246268;o;0.002683;0.292709;2.540798;5.198574;7.739373;5.451015;4.760213;
0;100000;40000000;245399;163;0.407500;1;0.000000;0.000212;17.943131;o;0.002285;0.293358;2.527647;5.190383;7.718030;5.175061;4.754142;
0;100000;40000000;240964;166;0.415000;1;0.000000;0.000163;18.193994;o;0.001793;0.293448;2.592601;5.460456;8.053058;5.136738;4.708749;
0;100000;40000000;236687;169;0.422499;1;0.000000;0.000178;18.661458;o;0.002143;0.293296;2.559912;5.588836;8.148749;5.477922;4.739125;
0;100000;40000000;232559;172;0.429998;1;0.000000;0.000202;18.283247;o;0.002233;0.292852;2.478803;5.312902;7.791707;5.134378;5.061828;
0;100000;40000000;228572;175;0.437499;1;0.000000;0.000176;18.762195;o;0.001592;0.292872;2.548830;5.585756;8.134587;5.360552;4.972369;
0;100000;40000000;224720;178;0.444998;1;0.000000;0.000321;17.896857;o;0.002203;0.293118;2.549478;5.177191;7.726670;5.142839;4.731660;
0;100000;40000000;220995;181;0.452499;1;0.000000;0.000161;18.238101;o;0.001855;0.293298;2.393379;5.299986;7.693365;5.151603;5.097775;
0;100000;40000000;217392;184;0.459999;1;0.000000;0.000170;18.268206;o;0.001775;0.293197;2.357079;5.302539;7.659619;5.186574;5.126826;
0;100000;40000000;213904;187;0.467499;1;0.000000;0.000305;17.996720;o;0.002038;0.292965;2.582066;5.235398;7.817465;5.144970;4.738930;
0;100000;40000000;210527;190;0.474998;1;0.000000;0.000159;18.564409;o;0.001642;0.293704;2.304144;5.258502;7.562646;5.416377;5.289837;
0;100000;40000000;207254;193;0.482500;1;0.000000;0.000272;18.639651;o;0.001894;0.293263;2.572377;5.592424;8.164803;5.265071;4.914304;
0;100000;40000000;204082;196;0.489999;1;0.000000;0.000312;18.156506;o;0.002046;0.293180;2.432286;5.114174;7.546460;5.205456;5.109006;
0;100000;40000000;201006;199;0.497498;1;0.000000;0.000269;17.811234;o;0.001703;0.293183;2.401041;5.111012;7.512055;5.269051;4.734927;
0;100000;40000000;198020;202;0.504999;1;0.000000;0.000261;18.387757;o;0.001605;0.293166;2.321329;5.289239;7.610570;5.273497;5.208616;
0;100000;40000000;195122;205;0.512500;1;0.000000;0.000257;18.906529;o;0.001835;0.292713;2.344768;5.478694;7.823463;5.578774;5.209441;
0;100000;40000000;192308;208;0.519999;1;0.000000;0.000263;18.279616;o;0.001605;0.293081;2.471118;5.579824;8.050943;5.222421;4.711258;
0;100000;40000000;189574;211;0.527498;1;0.000000;0.000260;18.163629;o;0.001632;0.292999;2.317536;5.456282;7.773820;5.291175;4.803698;
0;100000;40000000;186916;214;0.535000;1;0.000000;0.000118;17.781893;o;0.001508;0.293521;2.206562;5.246077;7.452639;5.199317;4.834747;
0;100000;40000000;184332;217;0.542499;1;0.000000;0.000122;18.041320;o;0.001813;0.292845;2.327546;5.462722;7.790269;5.127206;4.829021;
0;100000;40000000;181819;220;0.549998;1;0.000000;0.000260;18.024300;o;0.001624;0.293213;2.272740;5.532019;7.804760;5.126934;4.797468;
0;100000;40000000;179373;223;0.557498;1;0.000000;0.000271;18.443614;o;0.001912;0.293129;2.319140;5.649251;7.968392;5.175914;5.003951;
0;100000;40000000;176992;226;0.564997;1;0.000000;0.000105;18.656799;o;0.001443;0.293129;2.302993;5.721909;8.024903;5.512175;4.825000;
0;100000;40000000;174673;229;0.572498;1;0.000000;0.000216;18.607340;o;0.001324;0.293529;2.187131;5.310876;7.498008;5.529170;5.285048;
0;100000;40000000;172414;232;0.579999;1;0.000000;0.000122;18.331585;o;0.001533;0.293110;2.324470;5.575422;7.899892;5.318038;4.818845;
0;100000;40000000;170213;235;0.587499;1;0.000000;0.000114;17.590765;o;0.001392;0.292971;2.166019;5.290650;7.456670;5.121416;4.718152;
0;100000;40000000;168068;238;0.594997;1;0.000000;0.000099;18.277810;o;0.001380;0.292421;2.064927;5.236961;7.301889;5.406192;5.275786;
0;100000;40000000;165976;241;0.602497;1;0.000000;0.000240;17.799452;o;0.001820;0.293169;2.227290;5.249314;7.476605;5.195645;4.831930;
0;100000;40000000;163935;244;0.609998;1;0.000000;0.000221;17.952131;o;0.001208;0.293003;2.150058;5.228412;7.378471;5.410793;4.868392;
0;100000;40000000;161944;247;0.617497;1;0.000000;0.000094;18.043191;o;0.001429;0.292931;2.150750;5.290014;7.440765;5.490114;4.817813;
0;100000;40000000;160000;250;0.625000;1;0.000000;0.000232;17.751888;o;0.001727;0.293478;2.198979;5.286604;7.485583;5.121601;4.849222;
0;100000;40000000;158103;253;0.632499;1;0.000000;0.000241;17.680729;o;0.001531;0.293434;2.180356;5.239811;7.420168;5.154962;4.810351;
