min;max;size;buckets;mean_elements_in_bucket;threads;time_allocate_sync;time_deallocate;time_all;error;0;0;0;0;0;0;0;
0;2147483647;10000000;294118;34;7301.435638;1;0.000000;0.000142;4.919608;o;0.001761;0.056173;0.732224;1.249768;1.981992;1.605075;1.274444;
0;2147483647;10000000;285715;35;7516.173974;1;0.000000;0.000113;4.863098;o;0.001756;0.056103;0.658863;1.265113;1.923977;1.604280;1.276850;
0;2147483647;10000000;277778;36;7730.934944;1;0.000000;0.000106;5.020648;o;0.001556;0.057628;0.690249;1.270908;1.961158;1.614644;1.385537;
0;2147483647;10000000;270271;37;7945.668041;1;0.000000;0.000107;5.727479;o;0.001633;0.061400;0.820822;1.543720;2.364543;1.859778;1.439999;
0;2147483647;10000000;263158;38;8160.434594;1;0.000000;0.000109;5.912779;o;0.001538;0.057661;0.941031;1.883964;2.824996;1.737135;1.291321;
0;2147483647;10000000;256411;39;8375.161935;1;0.000000;0.000205;5.040133;o;0.001681;0.058450;0.622982;1.235980;1.858963;1.630724;1.490043;
0;2147483647;10000000;250000;40;8589.934588;1;0.000000;0.000102;6.104500;o;0.001418;0.064546;0.781024;1.739015;2.520041;1.810543;1.707832;
0;2147483647;10000000;243903;41;8804.662702;1;0.000000;0.000202;5.346826;o;0.001364;0.057161;0.713556;1.344403;2.057961;1.866304;1.363812;
0;2147483647;10000000;238096;42;9019.402455;1;0.000000;0.000078;5.128852;o;0.001292;0.057813;0.675081;1.388611;2.063692;1.733268;1.272691;
0;2147483647;10000000;232559;43;9234.145516;1;0.000000;0.000092;5.084672;o;0.001256;0.055879;0.603355;1.297894;1.901250;1.764372;1.361803;
0;2147483647;10000000;227273;44;9448.916708;1;0.000000;0.000070;5.660057;o;0.001254;0.056922;0.700249;1.403814;2.104065;2.067060;1.430666;
0;2147483647;10000000;10000000;1;214.748365;1;0.000000;0.000572;3.751234;o;0.057623;0.064019;1.305079;0.907880;2.212960;0.738638;0.677399;
0;2147483647;10000000;5000000;2;429.496729;1;0.000000;0.000251;3.779800;o;0.022338;0.077329;1.235663;0.747881;1.983545;1.016218;0.680090;
0;2147483647;10000000;3333334;3;644.244965;1;0.000000;0.000206;4.023348;o;0.016693;0.068307;1.217627;0.775059;1.992687;1.270141;0.675294;
0;2147483647;10000000;2500000;4;858.993459;1;0.000000;0.000247;4.119791;o;0.009695;0.058857;1.144603;0.745408;1.890012;1.439111;0.721850;
0;2147483647;10000000;2000000;5;1073.741824;1;0.000001;0.000169;4.684454;o;0.009461;0.058023;1.145702;0.831088;1.976791;1.680637;0.959345;
0;2147483647;10000000;1666667;6;1288.489931;1;0.000000;0.000216;4.591589;o;0.010279;0.063289;1.254580;0.947672;2.202252;1.468223;0.847307;
0;2147483647;10000000;1428572;7;1503.237952;1;0.000000;0.000180;5.939911;o;0.006752;0.056436;1.089737;1.061189;2.150927;2.382527;1.343066;
0;2147483647;10000000;1250000;8;1717.986918;1;0.000000;0.000166;5.811463;o;0.006036;0.073729;1.311494;1.419421;2.730916;1.708941;1.291653;
0;2147483647;10000000;1111112;9;1932.733736;1;0.000000;0.000173;5.396935;o;0.004801;0.062535;1.348572;1.252558;2.601131;1.552854;1.175419;
0;2147483647;10000000;1000000;10;2147.483647;1;0.000000;0.000083;5.007961;o;0.004531;0.057800;1.034011;1.205179;2.239191;1.452305;1.254023;
0;2147483647;10000000;909091;11;2362.231775;1;0.000000;0.000154;5.006933;o;0.003762;0.060297;1.036242;1.223394;2.259637;1.456956;1.226097;
0;2147483647;10000000;833334;12;2576.978315;1;0.000000;0.000148;5.075894;o;0.004881;0.060880;1.009553;1.266711;2.276265;1.481325;1.252376;
0;2147483647;10000000;769231;13;2791.727904;1;0.000000;0.000100;5.368349;o;0.004657;0.056498;0.989039;1.238279;2.227320;1.767927;1.311822;
0;2147483647;10000000;714286;14;3006.475903;1;0.000000;0.000063;5.072454;o;0.002776;0.058471;0.981796;1.254037;2.235835;1.502164;1.273116;
0;2147483647;10000000;666667;15;3221.223860;1;0.000000;0.000122;5.391904;o;0.003029;0.057114;0.980485;1.225173;2.205659;1.865387;1.260570;
0;2147483647;10000000;625000;16;3435.973835;1;0.000000;0.000207;5.392451;o;0.003430;0.061088;0.994415;1.461049;2.455464;1.630697;1.241544;
0;2147483647;10000000;588236;17;3650.717819;1;0.000000;0.000142;5.045401;o;0.003867;0.056336;0.918574;1.291274;2.209849;1.503108;1.272058;
0;2147483647;10000000;555556;18;3865.467472;1;0.000000;0.000147;6.142442;o;0.002799;0.061198;1.291267;1.705224;2.996492;1.807757;1.274024;
0;2147483647;10000000;526316;19;4080.217297;1;0.000000;0.000123;6.053072;o;0.002396;0.058695;1.140889;1.438322;2.579213;1.786074;1.626552;
0;2147483647;10000000;500000;20;4294.967294;1;0.000000;0.000203;5.101689;o;0.005140;0.063137;0.935021;1.245772;2.180795;1.575916;1.276467;
0;2147483647;10000000;476191;21;4509.710698;1;0.000000;0.000077;4.999414;o;0.001954;0.060267;0.884493;1.270118;2.154612;1.497900;1.284588;
0;2147483647;10000000;454546;22;4724.458354;1;0.000000;0.000159;5.929346;o;0.002440;0.060385;1.335361;1.554068;2.889431;1.602137;1.374775;
0;2147483647;10000000;434783;23;4939.207943;1;0.000000;0.000145;5.174364;o;0.002335;0.055697;0.917815;1.324359;2.242174;1.590324;1.283670;
0;2147483647;10000000;416667;24;5153.956630;1;0.000000;0.000043;4.965899;o;0.001576;0.057260;0.791324;1.259856;2.051181;1.559265;1.296547;
0;2147483647;10000000;400000;25;5368.709117;1;0.000000;0.000131;4.903434;o;0.002002;0.056067;0.788434;1.252758;2.041194;1.545966;1.258054;
0;2147483647;10000000;384616;26;5583.448549;1;0.000000;0.000110;4.957364;o;0.001878;0.057466;0.780709;1.252665;2.033375;1.583955;1.280561;
0;2147483647;10000000;370371;27;5798.195990;1;0.000000;0.000148;5.106792;o;0.001786;0.055311;0.765748;1.369670;2.135419;1.625597;1.288511;
0;2147483647;10000000;357143;28;6012.951806;1;0.000000;0.000099;5.051699;o;0.001660;0.055628;0.783020;1.257988;2.041009;1.589082;1.364202;
0;2147483647;10000000;344828;29;6227.695103;1;0.000000;0.000068;5.202012;o;0.001574;0.055260;0.751112;1.346762;2.097875;1.604693;1.442515;
0;2147483647;10000000;333334;30;6442.438056;1;0.000000;0.000173;5.371720;o;0.002148;0.080069;0.988603;1.345102;2.333706;1.650658;1.304946;
0;2147483647;10000000;322581;31;6657.191983;1;0.000000;0.000048;5.103037;o;0.001414;0.056196;0.711417;1.347703;2.059121;1.635935;1.350305;
